term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
amyloid fibril formation (GO:1990000),GO_Biological_Process_2021,0.3211308723696823,0.9213464143908114,0.6039603960396039,0.8313880128601193,4/15,15.58%,Itm2b;Fga;Fkbp1a;Rps27a
positive regulation of nucleic acid-templated transcription (GO:1903508),GO_Biological_Process_2021,0.2620365231739589,0.9476779536482833,0.5217391304347826,0.8318621543817365,4/40,2.73%,Ppm1a;Tgfb3;Tgfb1;Spin1
cellular response to organonitrogen compound (GO:0071417),GO_Biological_Process_2021,0.32592071147689256,0.9269849118809843,0.5581395348837209,0.8351868472584855,1/15,0.62%,Rap1b
Oocyte meiosis,KEGG_2019_Mouse,0.30104051116508423,0.9219429232783117,0.5528455284552846,0.8360226798708422,6/21,9.13%,Ppp2ca;Mad2l1;Ppp1ca;Ywhae;Ppp1cc;Ywhah
neuron development (GO:0048666),GO_Biological_Process_2021,0.3039621942598861,0.9271589677476834,0.5498154981549815,0.841400338112988,3/20,7.89%,Gba;Stmn2;Ehd1
positive regulation of cell migration (GO:0030335),GO_Biological_Process_2021,0.24060513334212988,0.9286090690661389,0.6709677419354839,0.8440440325557819,14/61,18.89%,Adam9;Tgfb1;Adam17;Plaa;Mmp14;Rock2;Pdcd10;Ccl7;Tgfb2;C1qbp;Enpp2;Ctsh;S100a11;Mien1
nervous system development (GO:0007399),GO_Biological_Process_2021,0.25495466514759785,0.9306996985802525,0.6065573770491803,0.8451962241413938,5/44,4.49%,Cxcl1;Itm2b;Tgfb1;Nbl1;Gda
muscle contraction (GO:0006936),GO_Biological_Process_2021,0.2879112165008313,0.8923851114279479,0.6352941176470588,0.8468714314406219,5/21,11.25%,Cryab;Myl9;Tpm3;Rock2;Gamt
mitotic spindle organization (GO:0007052),GO_Biological_Process_2021,0.2755923861108391,0.8886170829784046,0.6566523605150214,0.8492662088573427,3/26,7.07%,Mad2l1;Rmdn1;Ppp1cc
phosphorylation (GO:0016310),GO_Biological_Process_2021,0.2865878077809503,0.893590675851045,0.5982905982905983,0.850023624402346,3/24,2.06%,Pnkp;Ccl2;Tgfb1
negative regulation of neuron death (GO:1901215),GO_Biological_Process_2021,0.3036055904795408,0.9307812053796586,0.5720164609053497,0.8517486345878496,4/21,6.24%,Tgfb3;Ccl2;Gba;Sod1
positive regulation of cell morphogenesis involved in differentiation (GO:0010770),GO_Biological_Process_2021,0.3158950530408827,0.9318831997446212,0.5983263598326359,0.8558821848511717,5/17,14.14%,S100a10;Fga;Fgb;Rac1;C1qbp
Measles,KEGG_2019_Mouse,0.3072529497669576,0.8829471730928713,0.6086956521739131,0.8562325145894447,4/16,10.58%,Bid;Bax;Cyct;Stat1
positive regulation of cell motility (GO:2000147),GO_Biological_Process_2021,0.2268541357109192,0.8560184835471487,0.7857142857142857,0.8568773057367257,7/51,13.52%,Adam9;Tgfb1;Adam17;Mmp14;Rock2;Pdcd10;Ccl7
Spliceosome,KEGG_2019_Mouse,0.21775570573841008,0.8470404139959365,0.79375,0.8581946109142268,12/59,13.62%,Snrpf;Ddx46;Prpf19;Lsm6;Sf3b5;Snrpg;Lsm8;Phf5a;Prpf40a;Hnrnpm;Snrpe;Ppih
