accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q09TK9,Spink8,treated_only,0.0,0.0,,
Q149M0,Clec12b,treated_only,68415000.0,0.0,,
Q3TA59,Jmjd8,control_only,,,0.0,37516000.0
Q3TCH7;A2A432,Cul4a;Cul4b,control_only,,,0.0,6757500.0
Q3TLI0,Trappc10,control_only,,,0.0,112890000.0
Q3TNH5,Fam172a,treated_only,6688800.0,0.0,,
Q3TVA9,Ccdc136,control_only,,,0.0,19154000.0
Q3TXU5,Dhps,control_only,,,0.0,19409000.0
Q3UBZ5,Mif4gd,treated_only,13536000.0,0.0,,
Q3UE37,Ube2z,treated_only,33384000.0,49911000.0,,
Q3UGS4,Fam195b,treated_only,4973100.0,0.0,,
Q3UHD6,Snx27,control_only,,,6964400.0,0.0
Q3UJP5,,treated_only,2254100.0,0.0,,
Q3UMB9,Kiaa1033,treated_only,0.0,191180000.0,,
Q3UMU9,Hdgfrp2,control_only,,,6990600.0,0.0
Q3UMW8,Cln5,control_only,,,0.0,43548000.0
Q3UNA4;Q9QZV9,Nxt2;Nxt1,control_only,,,62678000.0,71762000.0
Q3UPI1,Fam198b,control_only,,,117520000.0,37679000.0
Q3URU2,Peg3,treated_only,83074000.0,0.0,,
Q3UZ39,Lrrfip1,treated_only,12945000.0,0.0,,
Q4PZA2,Ece1,control_only,,,20080000.0,0.0
Q4VA55,Mum1l1,control_only,,,5988300.0,2668700.0
Q501J6;Q61656,Ddx17;Ddx5,control_only,,,70018000.0,10632000.0
Q505B8,Syce2,control_only,,,14518000.0,0.0
Q505F5,Lrrc47,control_only,,,0.0,56484000.0
Q571F8,Gls2,control_only,,,0.0,7726000.0
Q59J78,Ndufaf2,control_only,,,2327400.0,0.0
Q5DTT2,Psd,treated_only,27225000.0,0.0,,
Q5EBG8,,treated_only,12666000.0,0.0,,
Q5F226,Fat2,treated_only,0.0,9272700.0,,
Q5HZI1,Mtus1,treated_only,0.0,171920000.0,,
Q5IR70,Cage1,control_only,,,0.0,0.0
Q5PSV9,Mdc1,treated_only,12426000.0,0.0,,
