UniProt Accession Number,Gene names,log2FC,regulated
Q61029;Q61033,Tmpo,1.0170660432496181,UP
Q9D6J6,Ndufv2,3.3862053531436427,UP
P97350,Pkp1,0.8791708246415236,UP
Q62148,Aldh1a2,1.1427404164040333,UP
Q8K4Z5,Sf3a1,0.6454589850825414,UP
Q9D1G1,Rab1b,0.9826397997264987,UP
Q9WUD8,Faim,-0.8714578100458816,DOWN
Q8BI72,Cdkn2aip,1.2454403023719902,UP
P12399,Ctla2a,1.0550694566043328,UP
Q9ER65,Clstn2,1.381665137738611,UP
O08992,Sdcbp,1.0028310989842246,UP
P08905,Lyz2,0.7317976013751613,UP
Q8R242,Ctbs,1.0609898742437607,UP
P08226,Apoe,0.6733132428798185,UP
P61922,Abat,1.5276324040419555,UP
O88322,Nid2,-1.0122757727963132,DOWN
Q9ET22,Dpp7,0.6719739865543399,UP
P36993,Ppm1b,2.7756016648042783,UP
P84078;P61205;Q8BSL7,Arf1;Arf3;Arf2,-0.6213100217300268,DOWN
Q920A5,Scpep1,0.6530723746504004,UP
P20065,Tmsb4x,0.7392733430692552,UP
O70433,Fhl2,0.9944193404286407,UP
Q9CX34,Sugt1,0.8311333349769249,UP
Q6P4T2,Snrnp200,1.248403364500563,UP
Q8JZK9,Hmgcs1,1.0956630583455118,UP
Q9DBH5,Lman2,0.9700977104743141,UP
Q07813,Bax,-0.8423750069032672,DOWN
Q9Z1Q9,Vars,0.9433090709874064,UP
Q61239,Fnta,1.166157996601725,UP
Q569Z6,Thrap3,1.9007983583184902,UP
Q8R4N0,Clybl,1.4345663925814105,UP
Q60676,Ppp5c,-0.8268138436945435,DOWN
O35593,Psmd14,0.6518655762049166,UP
Q9CWM4,Pfdn1,-0.6605015958922621,DOWN
Q810B6,Ankfy1,-0.980165524612894,DOWN
Q9JJA4,Wdr12,2.453775558662149,UP
P14069,S100a6,-0.9048032311604135,DOWN
P70349,Hint1,-0.663505297999769,DOWN
Q99LD8,Ddah2,-1.6381172079278126,DOWN
Q9Z2Y8,Prosc,-1.6954383269984308,DOWN
O70493,Snx12,2.13846713443071,UP
Q60817;P70670,Naca,3.104431626517519,UP
Q9CR98,Fam136a,1.6617666128703548,UP
P54775,Psmc4,0.7253255918155095,UP
Q91Z53,Grhpr,1.160605360306969,UP
P62270,Rps18,0.9696663750554393,UP
Q8BFS6,Cpped1,0.7327025425916112,UP
Q9CQ45,Nenf,1.848642431364138,UP
Q99KR7,Ppif,-1.975505990775822,DOWN
P56380,Nudt2,1.8085780031327614,UP
P26350,Ptma,0.6084618965242248,UP
Q8VCA8,Scrn2,1.029268065100021,UP
Q99KP3,Cryl1,0.7867604523867728,UP
Q8BGD9,Eif4b,1.7456790901017931,UP
Q8VCR7,Abhd14b,-4.576399201098807,DOWN
Q8VBV7,Cops8,1.2803780196702166,UP
P11930,Nudt19,0.9004126793696564,UP
P42669,Pura,0.6258937051480133,UP
Q71RI9,Ccbl2,2.003159255456092,UP
Q3ULJ0,Gpd1l,1.7969354026681785,UP
P39061,Col18a1,-2.031338359311053,DOWN
Q99KJ8,Dctn2,1.3815595526978424,UP
O35900,Lsm2,-1.0793754477109905,DOWN
P50429,Arsb,0.9406373572415552,UP
P20060,Hexb,0.8656566387267639,UP
Q8BHN0,Ppm1l,-1.192625067126237,DOWN
P63037,Dnaja1,1.1515916692347683,UP
Q9CR51,Atp6v1g1,0.643429268019477,UP
P63001;P60764,Rac1;Rac3,-0.842396292137497,DOWN
Q9DB05,Napa,1.469768925866827,UP
O70318,Epb41l2,2.7588507231833903,UP
Q8K310,Matr3,1.926796266488124,UP
P62264,Rps14,1.9945586403155764,UP
P16110,Lgals3,1.4609350124533727,UP
Q8BY87,Usp47,3.2114741318496414,UP
Q8BG95,Ppp1r12b,1.5413576183780937,UP
Q99JI6;P62835,Rap1b;Rap1a,-1.8016659497282235,DOWN
P48036,Anxa5,1.429467021036399,UP
P42225,Stat1,-1.5817087249605857,DOWN
Q8K354,Cbr3,0.6739071789989323,UP
Q9CQW1,Ykt6,-0.7874893367726775,DOWN
O88685,Psmc3,0.8610519175832458,UP
Q9CQE8,,1.1415030499222794,UP
Q8BP40,Acp6,0.760644648120751,UP
Q8VCT3,Rnpep,0.7306935531898711,UP
Q9Z1B5,Mad2l1,-1.6297218964899778,DOWN
Q9DCT5,Sdf2,0.7310240624050227,UP
P47941,Crkl,0.5876820636056757,UP
Q78ZA7,Nap1l4,3.530168342589996,UP
P62814,Atp6v1b2,-1.454926474887817,DOWN
Q6NZJ6,Eif4g1,1.0530377521073069,UP
Q9QXA5,Lsm4,1.2796677570514035,UP
O35344,Kpna3,0.6519241525482043,UP
Q9D8S9,Bola1,-1.007246677633678,DOWN
Q9WU28,Pfdn5,1.2023855877864726,UP
Q9CR68,Uqcrfs1,1.313312771565738,UP
P60867,Rps20,2.190416258716678,UP
Q9WUP7,Uchl5,1.0224497451605197,UP
Q8BPG6,Sumf2,2.4415565141602555,UP
P70665,Siae,0.8407533441351639,UP
P63276,Rps17,1.2497852299427612,UP
P35585,Ap1m1,1.153924944347605,UP
P35564,Canx,-1.5056244841929938,DOWN
Q9QZ23,Nfu1,1.4438687941573327,UP
Q9CR86,Carhsp1,1.126522546393717,UP
P13707,Gpd1,1.6220120778149836,UP
Q6P3D0,Nudt16,1.1687443606690027,UP
Q6P069,Sri,0.7135246772423418,UP
Q920B9,Supt16h,1.73807088909116,UP
P55821,Stmn2,-0.8264051534635717,DOWN
Q922V4,Plrg1,0.6038473235858323,UP
Q9CQR2,Rps21,-1.1262874580078348,DOWN
P56395,Cyb5a,0.9225208928427627,UP
P27048;P63163,Snrpb;Snrpn,0.750457759858975,UP
Q9JL35,Hmgn5,2.018601040838401,UP
Q3SXD3,Hddc2,1.6358968403180845,UP
Q8R3B1,Plcd1,0.9638060522187295,UP
P60898,Polr2i,1.3154233065789223,UP
Q9D868,Ppih,-0.9205787748559014,DOWN
P99028,Uqcrh,1.4555531213936121,UP
P10148,Ccl2,-1.3574081492185677,DOWN
Q99KR8,Fuca2,0.8432255208075716,UP
O70340,Nptx2,1.0278811118854927,UP
P04202,Tgfb1,-1.4830693728942523,DOWN
Q91V88,Npnt,2.8523760052853655,UP
Q7TMR0,Prcp,-0.9031633176424089,DOWN
P15535,B4galt1,0.5964140813858619,UP
P11214,Plat,0.7159997800198797,UP
Q8VE43,Metrnl,0.6980877526295182,UP
Q62059,Vcan,2.0177679011383396,UP
Q91XA2,Golm1,-0.6619782500771895,DOWN
Q6PGB6,Naa50,0.7795181812667125,UP
O89112,Lancl1,1.3032143838861623,UP
Q8VE62,Paip1,1.0890553103814735,UP
Q80UG5,2018-09-09 00:00:00,1.0299737001051752,UP
Q9JLT4,Txnrd2,1.5244102473068604,UP
P23780,Glb1,2.148417681412832,UP
Q9R0E1,Plod3,0.7807655249381285,UP
O55057,Pde6d,2.8478015569911532,UP
P63073,Eif4e,0.9977379721279764,UP
Q9JHJ0,Tmod3,0.6977471700920749,UP
Q9JHI5,Ivd,-1.4316047409529042,DOWN
Q9R0N0,Galk1,1.6359624564593473,UP
Q9CYZ2,Tpd52l2,-0.8172244932645435,DOWN
Q9WU84,Ccs,0.6532979001511805,UP
P97346,Nxn,1.8501139870895824,UP
Q9QYJ0,Dnaja2,1.8623978434381319,UP
Q9DBB8,Dhdh,1.199461128257643,UP
Q91VH6,Memo1,3.940526071446443,UP
Q9JMG1,Edf1,0.7207826697983832,UP
Q91WK2,Eif3h,1.3916745195730291,UP
Q99JT9,Adi1,-1.563132593710093,DOWN
Q9CQM5,Txndc17,-1.942337265548184,DOWN
Q62048,Pea15,2.174889168051722,UP
Q8R081,Hnrnpl,0.6011312558022253,UP
Q9CQR6,Ppp6c,0.5942181057355533,UP
O08547,Sec22b,-0.7380516871295464,DOWN
Q91VW3,Sh3bgrl3,-0.6836306948688575,DOWN
P16254,Srp14,1.201914140750756,UP
Q8BGC4,Zadh2,2.339979938972136,UP
P62313,Lsm6,-1.2210326636700548,DOWN
Q9Z0P5,Twf2,1.6678763879167589,UP
P62077,Timm8b,1.611714165583885,UP
Q9R0Q6,Arpc1a,1.405678077591912,UP
O54754,Aox1,0.6349756938213516,UP
O35955,Psmb10,-1.122928715291706,DOWN
Q61838,A2m,2.448793270867606,UP
P04117,Fabp4,-0.7791676621462482,DOWN
Q8R0F8,Fahd1,1.943520433046268,UP
P61957,Sumo2,0.7595574043183965,UP
O88545,Cops6,0.9507335047141574,UP
Q6ZWM4,Lsm8,-0.9375262912481317,DOWN
Q91X96,Rabif,1.405507353049334,UP
Q9D7I5,Lhpp,-0.5900249308290673,DOWN
Q8JZM7,Cdc73,-0.5892567066601324,DOWN
Q9JMG7,Hdgfrp3,2.3849200623081765,UP
P62858,Rps28,-1.6089385977910657,DOWN
P62320,Snrpd3,0.7418145246969481,UP
P62309,Snrpg,-1.4356533225030814,DOWN
P49443,Ppm1a,-2.856413860334995,DOWN
P61967,Ap1s1,-1.5896494490279982,DOWN
Q03173,Enah,1.3167521812459926,UP
Q3TIV5,Zc3h15,-3.4798592961570907,DOWN
Q99K70;Q7TT45,Rragc;Rragd,0.9337095533333848,UP
Q8BH69,Sephs1,-1.5173724450652444,DOWN
Q99PL5,Rrbp1,-0.5936524691583267,DOWN
Q9CZL5,Pcbd2,-1.6337017446333155,DOWN
Q9DAU1,Cnpy3,-0.8750100367584897,DOWN
Q64520,Guk1,-1.0126303348809722,DOWN
Q9ET26,Rnf114,1.8390294437235668,UP
Q9CPT3,Nanp,0.7774986100713841,UP
Q61845,Meig1,1.0027784552095507,UP
Q99MR6,Srrt,-2.549619447701204,DOWN
P61164;Q8R5C5,Actr1a;Actr1b,-0.9869503799431181,DOWN
P60487,Pdxp,0.6779012434500032,UP
Q9DCB8,Isca2,1.403536567878238,UP
Q91WM2,Cecr5,-2.6818866191643718,DOWN
Q9DAS9,Gng12,-1.2694363809702658,DOWN
Q9Z0H6,Cst9,1.5072539645089817,UP
P09056,Lif,-1.4991255748923995,DOWN
O09114,Ptgds,-0.880973789250011,DOWN
P49935,Ctsh,-1.1538874924524487,DOWN
P47931,Fst,0.747962657347286,UP
Q8R2G6,Ccdc80,1.1890803836876445,UP
Q9JHE3,Asah2,0.9085507668404045,UP
O35657,Neu1,1.2988855933363634,UP
Q9WTZ2,Mbtps1,1.2016387938958584,UP
Q8BK62,Olfml3,2.64167886117142,UP
Q64685,St6gal1,0.6294313078933709,UP
A2AX52,Col6a4,-0.7787524974106927,DOWN
Q9Z1G3,Atp6v1c1,1.4120368257783573,UP
Q6PHU5,Sort1,1.7560385969521073,UP
Q9Z0Z4,Heph,-1.4441531581025253,DOWN
Q99KN2,Ciao1,2.085343597098782,UP
Q9DB34,Chmp2a,1.7643445981584869,UP
P09055,Itgb1,0.8355880835228318,UP
O55091,Impact,0.8115760298368344,UP
P85094,Isoc2a,2.4069821536642335,UP
P17439,Gba,-1.1002452169499146,DOWN
P61750,Arf4,0.9776496633158638,UP
Q9WTL7,Lypla2,0.7183388529465965,UP
P62748;P84075,Hpcal1;Hpca,-0.5947604708750499,DOWN
P35278,Rab5c,-1.3995020310301245,DOWN
P28667,Marcksl1,1.6515376790705139,UP
P70677,Casp3,1.034191733475293,UP
P11438,Lamp1,1.0073463254498896,UP
Q9Z130,Hnrnpdl,1.8414807597273282,UP
P35980,Rpl18,1.5168985174032215,UP
P62254,Ube2g1,1.1465104126229249,UP
P61924,Copz1,-0.7366439431703542,DOWN
Q9CWW6,Pin4,2.0875747438783847,UP
Q9CQ89,Cuta,0.755532435736167,UP
Q9CQT1,Mri1,1.3643909355750723,UP
P60229,Eif3e,1.3851427640908534,UP
Q9D142,Nudt14,1.5967838882989271,UP
P62500,Tsc22d1,-1.1575914974007777,DOWN
