© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Telomere Maintenance	1.62E00	7.26E-02	2.333	H2AX,POLR2D,POLR2E,POLR2H,POLR2I,PPP6C,PPP6R3,RPA3,RUVBL1	
Glyoxylate metabolism and glycine degradation	1.61E00	1.58E-01	NaN	DLD,DLST,GRHPR	
Platelet homeostasis	1.59E00	8.14E-02	1.134	GNB1,GNG12,LRP8,MAPK14,PPP2CA,PPP2CB,SRI	
Thrombin Signaling	1.59E00	6.03E-02	1.000	EGFR,GNB1,GNG12,MAPK1,MAPK14,MPRIP,MYL12B,MYL9,MYLK,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
HIF1α Signaling	1.59E00	6.19E-02	-0.302	COPS5,EIF4E,ELOB,ELOC,HSP90AA1,IGF2,MAPK1,MMP14,Mmp3,MMP7,RACK1,SAT2,TGFB1	
Signaling by NOTCH3	1.59E00	1E-01	0.447	EGFR,JAG1,NCSTN,STAT1,YBX1	
Signaling by TGFBR3	1.59E00	1E-01	-0.447	MMP14,MOV10,NCSTN,TGFB1,TIMP1	
Fatty Acid β-oxidation I	1.58E00	1.18E-01	1.000	ECHS1,HADH,HSD17B4,IVD	
Vitamin K Signaling Pathway	1.58E00	8.82E-02	0.816	APOE,BAX,CASP3,GAS6,GDF15,STC2	
Agrin Interactions at Neuromuscular Junction	1.58E00	8.82E-02	0.447	ACTB,CTTN,EGFR,ITGB1,LAMA2,MAPK1	
Superoxide Radicals Degradation	1.56E00	2.5E-01	NaN	GPX7,SOD1	
Gap junction trafficking and regulation	1.56E00	9.8E-02	1.342	ACTB,AP2M1,TUBA1A,TUBB2A,TUBB3	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.56E00	9.8E-02	NaN	CDC34,CUL1,YWHAE,YWHAG,YWHAH	
Cardiac β-adrenergic Signaling	1.55E00	6.51E-02	0.378	GNB1,GNG12,PALM2AKAP2,PDE6D,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PTPA	
Signaling by Hippo	1.55E00	1.5E-01	NaN	CASP3,TJP2,YWHAE	
Sensory processing of sound by inner hair cells of the cochlea	1.55E00	8.7E-02	0.816	ACTB,EPB41L3,ESPN,MYH9,SPTBN1,TWF2	
SUMOylation of SUMOylation proteins	1.54E00	1.14E-01	2.000	NUP37,SEC13,SUMO2,TPR	
Late endosomal microautophagy	1.54E00	1.14E-01	1.000	CHMP2A,CHMP3,CHMP4B,VPS28	
Telomerase Signaling	1.53E00	7.41E-02	0.378	EGFR,HSP90AA1,MAPK1,PPM1L,PPP2CA,PPP2CB,PTGES3,PTPA	
Xenobiotic Metabolism AHR Signaling Pathway	1.53E00	7.41E-02	-1.633	ALDH16A1,ALDH1A2,ALDH1L1,Gsta3,GSTK1,HSP90AA1,NQO2,PTGES3	
Amyloid Processing	1.52E00	9.62E-02	1.000	CAPN2,CSNK2B,MAPK1,MAPK14,NCSTN	
ISGylation Signaling Pathway	1.51E00	7.34E-02	-0.707	FLNB,IFNAR2,IRF3,ITGA3,ITGB1,STAT1,UBE2L3,UBE2N	
Formation of the dystrophin-glycoprotein complex (DGC)	1.5E00	1.11E-01	0.000	ACTB,LAMA2,LAMA4,LAMC2	
Methylthiopropionate Biosynthesis	1.47E00	1E00	NaN	ADI1	
Sorbitol Degradation I	1.47E00	1E00	NaN	SORD	
Methylglyoxal Degradation VI	1.47E00	1E00	NaN	LDHD	
Adenine and Adenosine Salvage VI	1.47E00	1E00	NaN	ADK	
Phase II - Conjugation of compounds	1.47E00	7.21E-02	0.707	ABHD10,ABHD14B,AHCY,AS3MT,BPNT1,GSTK1,MAT2A,MTR	
Multiple Sclerosis Signaling Pathway	1.46E00	5.94E-02	0.277	BAX,BID,CAPN2,HLA-A,LIF,MAPK1,MAPK14,PARP1,RBBP7,STAT1,TGFB1,TGFB3,UBR2	
Leucine Degradation I	1.46E00	2.22E-01	NaN	BCAT2,IVD	
Heme Biosynthesis II	1.46E00	2.22E-01	NaN	ALAD,HMBS	
Mitochondrial Fatty Acid Beta-Oxidation	1.46E00	1.08E-01	2.000	DECR1,ECHS1,HADH,MCEE	
Interferon Signaling	1.46E00	1.08E-01	0.000	BAX,IFI35,IFNAR2,STAT1	
Cell junction organization	1.45E00	7.61E-02	1.134	ACTB,ANG,CLDN4,ITGB1,JUP,LAMC2,VASP	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	1.44E00	1.36E-01	NaN	CYB5A,GET3,SGTA	
Resolution of Abasic Sites (AP sites)	1.42E00	1.05E-01	1.000	ADPRS,PARP1,PNKP,RPA3	
Triglyceride metabolism	1.42E00	1.05E-01	-1.000	FABP4,PPP1CA,PPP1CB,PPP1CC	
Cell Cycle Regulation by BTG Family Proteins	1.42E00	1.05E-01	NaN	PPM1L,PPP2CA,PPP2CB,PTPA	
Aldosterone Signaling in Epithelial Cells	1.41E00	6.18E-02	NaN	AHCY,CRYAB,DNAJA1,DNAJB4,DNAJC10,DNAJC24,DNAJC8,HSP90AA1,HSPH1,MAPK1,PLCD1	
EGF Signaling	1.4E00	8.93E-02	-0.447	CSNK2B,EGFR,MAPK1,MAPK14,STAT1	
Extra-nuclear estrogen signaling	1.4E00	8E-02	0.816	EGFR,GNB1,GNG12,HSP90AA1,MAPK1,MMP7	
Azathioprine ADME	1.39E00	1.3E-01	NaN	GUK1,IMPDH2,XDH	
Cellular response to mitochondrial stress	1.39E00	1.3E-01	NaN	EIF2S2,EIF2S3,VPS28	
NAD Salvage Pathway II	1.39E00	1.3E-01	NaN	ACP6,NT5C2,NT5C3B	
Ephrin Receptor Signaling	1.39E00	5.94E-02	2.111	ACTR3,ARPC1A,ARPC2,ARPC5,CRKL,EFNB1,GNB1,GNG12,ITGA3,ITGB1,MAPK1,SDCBP	
MAP kinase activation	1.39E00	1.03E-01	2.000	CUL1,MAPK14,UBE2N,UBE2V1	
Pulmonary Hypertension Signaling Pathway	1.38E00	5.19E-02	0.688	APOE,BAX,CAPN2,COL1A2,CRYAB,LRP1,LRP8,MAPK1,MPRIP,MYL12B,MYL9,MYLK,PARP1,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,TGFB1	
Protein lipoylation	1.37E00	2E-01	NaN	DLST,NFU1	
Prostanoid Biosynthesis	1.37E00	2E-01	NaN	PTGDS,PTGES3	
Mitophagy	1.35E00	1E-01	0.000	CSNK2B,UBE2L3,UBE2N,UBE2V1	
Granulocyte Adhesion and Diapedesis	1.35E00	5.85E-02	NaN	CCL2,Ccl7,CLDN4,Cxcl1,Cxcl5,IL1RL1,ITGB1,MMP14,Mmp3,MMP7,PF4,TNFRSF1B	
RAC Signaling	1.34E00	6.47E-02	1.667	ACTR3,ARPC1A,ARPC2,ARPC5,BRK1,IQGAP1,ITGA3,ITGB1,MAPK1	
Interleukin-6 family signaling	1.34E00	1.25E-01	NaN	LIF,LIFR,STAT1	
RAS processing	1.34E00	1.25E-01	NaN	FNTA,FNTB,PDE6D	
IL-22 Signaling	1.34E00	1.25E-01	NaN	MAPK1,MAPK14,STAT1	
Tumoricidal Function of Hepatic Natural Killer Cells	1.34E00	1.25E-01	NaN	BAX,BID,CASP3	
Putrescine Degradation III	1.34E00	1.25E-01	NaN	ALDH1A2,ALDH1L1,SAT2	
Vitamin-C Transport	1.34E00	1.25E-01	NaN	GLRX,NXN,TXNRD2	
HEY1 Signaling Pathway	1.34E00	6.21E-02	-1.000	BAX,EGFR,JAG1,MMP14,Mmp3,MMP7,MYH11,NCSTN,TGFB1,TGFB3	
SUMOylation of DNA damage response and repair proteins	1.33E00	7.69E-02	1.633	NUP37,PARP1,SEC13,SUMO2,TPR,XRCC4	
Semaphorin Signaling in Neurons	1.32E00	8.47E-02	NaN	ARHGAP1,DPYSL3,DPYSL4,ITGB1,MAPK1	
Ephrin A Signaling	1.31E00	6.38E-02	0.707	CLDN4,EGFR,MAPK1,MMP14,MYL12B,MYL9,NCSTN,RHEB,TGFB1	
Growth hormone receptor signaling	1.3E00	1.2E-01	NaN	ADAM17,MAPK1,STAT1	
Glucocorticoid Receptor Signaling	1.29E00	4.67E-02	NaN	ACTB,ATP5F1D,CCL2,EGFR,FBP1,FKBP4,GTF2A2,HLA-A,HMGB1,HSP90AA1,IL1RL1,IRF3,MAPK1,MAPK14,Mmp3,NDUFV2,POLR2D,POLR2E,POLR2H,POLR2I,PTGES3,SDHA,SMARCB1,STAT1,TGFB1,TGFB3,UQCRFS1,YWHAH	
Phenylalanine and tyrosine metabolism	1.29E00	1.82E-01	NaN	KYAT1,PCBD1	
Serine metabolism	1.29E00	1.82E-01	NaN	PHGDH,PSPH	
Visual phototransduction	1.29E00	8.33E-02	0.447	FNTA,FNTB,GNB1,METAP1,RBP4	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	1.29E00	9.52E-02	1.000	FGA,HMGB1,UBE2N,UBE2V1	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.28E00	7.5E-02	1.000	BAX,CASP3,CCL2,MAPK1,MAPK14,PLA2G15	
Macrophage Classical Activation Signaling Pathway	1.27E00	5.85E-02	-2.333	ACO2,DLD,IFNAR2,IRF3,LIF,PDHB,RBBP7,SDHA,STAT1,TGFB1,TGFB3	
Xenobiotic Metabolism CAR Signaling Pathway	1.27E00	5.56E-02	0.000	ALDH16A1,ALDH1A2,ALDH1L1,EGFR,Gsta3,GSTK1,HSP90AA1,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,RACK1	
IL-17A Signaling in Gastric Cells	1.26E00	1.15E-01	NaN	EGFR,MAPK1,MAPK14	
Ethanol Degradation IV	1.26E00	1.15E-01	NaN	ALDH1A2,ALDH1L1,GPX7	
Intrinsic Prothrombin Activation Pathway	1.26E00	9.3E-02	-1.000	COL18A1,COL1A2,FGA,SERPINC1	
Pyroptosis Signaling Pathway	1.25E00	6.86E-02	1.633	BAX,CASP3,Gbp2,HMGB1,MAPK1,MAPK14,TNFRSF1B	
Metabolism of water-soluble vitamins and cofactors	1.24E00	7.32E-02	2.449	ACACA,AOX1,CYB5A,LRP2,MTR,PPCS	
ER-Mitochondrial Communication Signaling Pathway	1.24E00	7.32E-02	-1.000	DNM1L,FIS1,IMMT,NCSTN,PITRM1,SOD1	
BEX2 Signaling Pathway	1.24E00	7.32E-02	0.000	PPM1L,PPP2CA,PPP2CB,PTPA,SMARCB1,SPP1	
Reversible hydration of carbon dioxide	1.23E00	1.67E-01	NaN	CA2,CA5B	
Ketogenesis	1.23E00	1.67E-01	NaN	Acat2/Acat3,HMGCS1	
TP53 Regulates Transcription of Cell Death Genes	1.22E00	9.09E-02	-1.000	BAX,BID,RABGGTB,TRIAP1	
Assembly and cell surface presentation of NMDA receptors	1.22E00	9.09E-02	1.000	LIN7C,TUBA1A,TUBB2A,TUBB3	
BER (Base Excision Repair) Pathway	1.22E00	9.09E-02	1.000	HMGB1,MAPK1,PARP1,PNKP	
ATF4 activates genes in response to endoplasmic reticulum stress	1.22E00	1.11E-01	NaN	CCL2,EXOSC2,KHSRP	
UVA-Induced MAPK Signaling	1.21E00	6.73E-02	0.000	CASP3,EGFR,MAPK1,MAPK14,PARP1,PLCD1,STAT1	
Bile acid and bile salt metabolism	1.2E00	8.89E-02	0.000	AKR1D1,AMACR,HSD17B4,OSBP	
Interleukin-10 signaling	1.2E00	8.89E-02	0.000	CCL2,LIF,TIMP1,TNFRSF1B	
β-alanine Degradation I	1.18E00	5E-01	NaN	ABAT	
S-methyl-5'-thioadenosine Degradation II	1.18E00	5E-01	NaN	MTAP	
S-methyl-5-thio-α-D-ribose 1-phosphate Degradation	1.18E00	5E-01	NaN	MRI1	
Glycerol-3-phosphate Shuttle	1.18E00	5E-01	NaN	GPD1	
Glycine Degradation (Creatine Biosynthesis)	1.18E00	5E-01	NaN	GATM	
Formaldehyde Oxidation II (Glutathione-dependent)	1.18E00	5E-01	NaN	ADH5	
Axonal Periodic Cytoskeleton Signaling Pathway	1.18E00	7.06E-02	0.816	ACTB,CAPN2,MAPK1,MYH9,SPTBN1,TMOD3	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.18E00	7.06E-02	NaN	BAX,CASP3,CCL2,MAPK1,MAPK14,PLA2G15	
RAB geranylgeranylation	1.17E00	7.69E-02	0.447	RAB18,RAB1B,RAB21,RAB5C,RABGGTB	
WNT/β-catenin Signaling	1.17E00	5.78E-02	0.632	CSNK2B,FRZB,LRP1,MMP7,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3	
SUMOylation of DNA replication proteins	1.17E00	8.7E-02	2.000	NUP37,SEC13,SUMO2,TPR	
Dilated Cardiomyopathy Signaling Pathway	1.16E00	5.96E-02	-0.378	ACTB,BAX,DSC2,LAMA4,MAPK1,MAPK14,MYH11,MYH9,MYL9	
NAD Signaling Pathway	1.16E00	5.96E-02	0.447	H1-1,IDH2,LDHD,PARP1,POLR2D,POLR2E,POLR2H,POLR2I,TGFB1	
Apelin Cardiomyocyte Signaling Pathway	1.16E00	6.54E-02	1.633	MAPK1,MAPK14,MYL12B,MYL9,MYLK,PLCD1,TGFB1	
Integration of energy metabolism	1.14E00	6.48E-02	0.378	ACACA,GNB1,GNG12,IQGAP1,PPP2CA,PPP2CB,TALDO1	
Energy dependent regulation of mTOR by LKB1-AMPK	1.14E00	1.03E-01	NaN	CAB39,PPM1A,RHEB	
Peroxisomal lipid metabolism	1.14E00	1.03E-01	NaN	AMACR,HSD17B4,NUDT19	
Response of EIF2AK1 (HRI) to heme deficiency	1.14E00	1.03E-01	NaN	EIF2S2,EIF2S3,VPS28	
Nonhomologous End-Joining (NHEJ)	1.13E00	7.46E-02	1.342	BABAM1,H2AX,UBE2N,UBE2V2,XRCC4	
Signaling by CSF3 (G-CSF)	1.11E00	1E-01	NaN	ELOB,ELOC,STAT1	
Superpathway of Cholesterol Biosynthesis	1.11E00	1E-01	NaN	Acat2/Acat3,HMGCS1,MVD	
Tryptophan catabolism	1.1E00	1.43E-01	NaN	KYAT1,KYAT3	
DNA Double-Strand Break Repair by Non-Homologous End Joining	1.1E00	1.43E-01	NaN	PARP1,XRCC4	
Respiratory electron transport	1.1E00	6.74E-02	1.633	COX5A,COX5B,NDUFV2,SDHA,UQCRFS1,UQCRH	
Regulation of Cellular Mechanics by Calpain Protease	1.1E00	6.74E-02	0.447	CAPN2,EGFR,ITGA3,ITGB1,MAPK1,TLN1	
Pulmonary Healing Signaling Pathway	1.1E00	5.45E-02	1.897	EGFR,IDH2,JAG1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,TGFB1,TGFB3,TNFRSF1B	
IL-27 Signaling Pathway	1.1E00	6.02E-02	0.707	HLA-A,IFNAR2,IL1RL1,IRF3,MAPK1,MAPK14,STAT1,TNFRSF1B	
Pyruvate metabolism	1.09E00	8.16E-02	1.000	DLD,FAHD1,ME2,PDHB	
Macroautophagy	1.08E00	7.25E-02	0.447	CHMP2A,CHMP3,CHMP4B,GABARAPL1,RHEB	
Cell Cycle: G1/S Checkpoint Regulation	1.08E00	7.25E-02	NaN	CDC34,CUL1,PA2G4,TGFB1,TGFB3	
Opioid Signalling	1.08E00	6.67E-02	0.000	GNB1,GNG12,MAPK1,PPP1CA,PPP2CA,PPP2CB	
Tuberculosis Latent Signaling Pathway	1.08E00	6.67E-02	0.000	DLD,DLST,LRP2,TGFB1,TGFB3,TNFRSF1B	
SWI/SNF chromatin remodelers	1.07E00	9.68E-02	NaN	ACTB,ACTL6A,SMARCB1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.06E00	5.24E-02	NaN	ADAM17,ADAMTS4,ADAMTS5,FRZB,IL1RL1,LRP1,MAPK1,MAPK14,MMP14,SPP1,TGFB1,TNFRSF1B	
Signaling by ERBB2	1.06E00	8E-02	1.000	CDC37,EGFR,HSP90AA1,MEMO1	
MYC Mediated Apoptosis Signaling	1.06E00	8E-02	0.000	BAX,BID,CASP3,TNFRSF1B	
Senescence Pathway	1.05E00	4.95E-02	1.291	CAPN2,DLD,EIF4E,IRF3,MAPK1,MAPK14,PARP1,PDHB,PPM1L,PPP1CA,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	1.05E00	1.33E-01	NaN	MBTPS1,SEC23A	
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	1.05E00	1.33E-01	NaN	PTGDS,PTGES3	
Serotonin Receptor Signaling	1.05E00	4.58E-02	0.229	CASP3,COPS5,FBP1,FGA,GNB1,GNG12,IL1RL1,ITGB1,MAPK1,MAPK14,MPRIP,MYLK,PCBD1,PLA2G15,PLCD1,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PTS,TGFB1,TGFB3	
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	1.04E00	7.04E-02	0.447	CAPN2,GNB1,GNG12,MMP14,TLN1	
Atherosclerosis Signaling	1.04E00	5.84E-02	-0.447	APOE,CCL2,COL18A1,COL1A2,Lyz1/Lyz2,PLA2G15,RBP4,TGFB1	
Thrombin signalling through proteinase activated receptors (PARs)	1.04E00	9.38E-02	NaN	GNB1,GNG12,MAPK1	
FAT10 Cancer Signaling Pathway	1.04E00	7.84E-02	0.000	MAD2L1,TGFB1,TGFB3,TNFRSF1B	
HER-2 Signaling in Breast Cancer	1.03E00	5.17E-02	-0.333	ARF4,CASP3,COPS6,COX5A,COX5B,EGFR,ITGB1,MAPK1,NUP37,RHEB,SEC13,TPR	
Necroptosis Signaling Pathway	1.01E00	5.56E-02	-0.333	CAPN2,DNM1L,IRF3,PPIF,STAT1,TIMM50,TIMM8B,TIMM9,TNFRSF1B	
Glutathione-mediated Detoxification	1.01E00	7.69E-02	NaN	ANPEP,Gsta3,GSTK1,LANCL1	
Lactose synthesis	1.01E00	3.33E-01	NaN	B4GALT1	
MTF1 activates gene expression	1.01E00	3.33E-01	NaN	CSRP1	
NADH Repair	1.01E00	3.33E-01	NaN	NAXE	
Serine Biosynthesis	1.01E00	3.33E-01	NaN	PHGDH	
Spermine Biosynthesis	1.01E00	3.33E-01	NaN	SMS	
5-aminoimidazole Ribonucleotide Biosynthesis I	1.01E00	3.33E-01	NaN	GART	
Tetrahydrobiopterin Biosynthesis I	1.01E00	3.33E-01	NaN	PTS	
Methionine Salvage II (Mammalian)	1.01E00	3.33E-01	NaN	MTR	
Uridine-5'-phosphate Biosynthesis	1.01E00	3.33E-01	NaN	CAD	
Geranylgeranyldiphosphate Biosynthesis	1.01E00	3.33E-01	NaN	FNTB	
Biotin-carboxyl Carrier Protein Assembly	1.01E00	3.33E-01	NaN	ACACA	
Tetrahydrobiopterin Biosynthesis II	1.01E00	3.33E-01	NaN	PTS	
S-adenosyl-L-methionine Biosynthesis	1.01E00	3.33E-01	NaN	MAT2A	
4-aminobutyrate Degradation I	1.01E00	3.33E-01	NaN	ABAT	
Toll Like Receptor 3 (TLR3) Cascade	1.01E00	9.09E-02	NaN	IRF3,UBE2N,UBE2V1	
Signal amplification	1.01E00	9.09E-02	NaN	GNB1,GNG12,MAPK14	
Airway Inflammation in Asthma	1.01E00	9.09E-02	NaN	CCL2,TGFB1,TGFB3	
Glutathione Redox Reactions I	1.01E00	9.09E-02	NaN	GPX7,Gsta3,GSTK1	
Ephrin B Signaling	1E00	6.85E-02	NaN	EFNB1,GNB1,GNG12,HNRNPK,MAPK1	
Docosahexaenoic Acid (DHA) Signaling	1E00	5.02E-02	0.302	BAX,BID,CASP3,FABP4,Fabp9,MAPK1,NCSTN,PLA2G15,PLCD1,SERPINF1,SPTBN1,TGFB1,TNFRSF1B	
Platelet Adhesion to exposed collagen	1E00	1.25E-01	NaN	COL1A2,ITGB1	
Extrinsic Prothrombin Activation Pathway	1E00	1.25E-01	NaN	FGA,SERPINC1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	1E00	1.25E-01	NaN	BPNT1,IMPA2	
Amyotrophic Lateral Sclerosis Signaling	1E00	5.98E-02	-0.378	BAX,BID,CAPN2,CASP3,CCS,RAB5C,SOD1	
Neuregulin Signaling	9.87E-01	5.93E-02	NaN	ADAM17,CRKL,EGFR,HSP90AA1,ITGA3,ITGB1,MAPK1	
PAK Signaling	9.87E-01	5.93E-02	0.000	CASP3,ITGA3,ITGB1,MAPK1,MYL12B,MYL9,MYLK	
ERK5 Signaling	9.86E-01	6.76E-02	-1.342	EGFR,LIF,YWHAE,YWHAG,YWHAH	
Oxytocin Signaling Pathway	9.75E-01	4.88E-02	0.000	EGFR,GNB1,GNG12,MAPK1,MAPK14,MPRIP,MYH11,MYH9,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
UVB-Induced MAPK Signaling	9.69E-01	7.41E-02	1.000	EGFR,EIF4E,MAPK1,MAPK14	
Mitochondrial Division Signaling Pathway	9.67E-01	5.42E-02	0.000	BAX,DNM1L,FIS1,MAPK1,PPM1L,PPP2CA,PPP2CB,PTPA,TNFRSF1B	
VEGF Signaling	9.65E-01	6.19E-02	NaN	ACTB,EIF1AX,EIF2S2,EIF2S3,MAPK1,YWHAE	
Apelin Adipocyte Signaling Pathway	9.65E-01	6.19E-02	0.447	GPX7,Gsta3,GSTK1,MAPK1,MAPK14,SOD1	
Metabolism of nitric oxide: NOS3 activation and regulation	9.59E-01	1.18E-01	NaN	DDAH1,HSP90AA1	
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	9.59E-01	1.18E-01	NaN	CILP,IGF2	
Protein methylation	9.59E-01	1.18E-01	NaN	KIN,RPS2	
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes	9.59E-01	1.18E-01	NaN	ITGB1,SPP1	
Eicosanoid Signaling	9.57E-01	4.84E-02	1.155	AP1G1,AP1M1,AP1S1,AP1S2,DPEP3,EGFR,GNB1,GNG12,ITGB1,MAPK1,MAPK14,PLA2G15,PLCD1,PTGDS	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	9.51E-01	5E-02	-1.508	CTSH,CTSO,FRZB,LIF,LRP1,MAPK1,MMP14,Mmp3,MMP7,STAT1,TGFB1,TGFB3	
Activation of the pre-replicative complex	9.5E-01	8.57E-02	NaN	MCM2,MCM6,RPA3	
Coagulation System	9.5E-01	8.57E-02	NaN	FGA,PLAT,SERPINC1	
Nuclear RNA decay	9.5E-01	8.57E-02	NaN	EXOSC2,PABPN1,SRRT	
Activation of anterior HOX genes in hindbrain during early embryogenesis	9.45E-01	5.79E-02	2.646	H2AX,POLR2D,POLR2E,POLR2H,POLR2I,RBBP7,WDR5	
Fcgamma receptor (FCGR) dependent phagocytosis	9.43E-01	5.36E-02	1.667	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,BRK1,HSP90AA1,MAPK1,MYH9	
NOD1/2 Signaling Pathway	9.32E-01	5.18E-02	1.000	CCL2,HSP90AA1,IFNAR2,IRF3,LIF,MAPK1,MAPK14,SUGT1,TGFB1,TGFB3	
DNA Double Strand Break Response	9.32E-01	6.49E-02	1.342	BABAM1,H2AX,PPP5C,UBE2N,UBE2V2	
Interferon alpha/beta signaling	9.32E-01	6.49E-02	1.342	HLA-A,IFI35,IFNAR2,IRF3,STAT1	
NLR signaling pathways	9.26E-01	7.14E-02	2.000	MAPK14,SUGT1,UBE2N,UBE2V1	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	9.23E-01	8.33E-02	NaN	APOE,EGFR,NPM1	
Ethanol Degradation II	9.23E-01	8.33E-02	NaN	ADH5,ALDH1A2,ALDH1L1	
Gastrin-CREB signalling pathway via PKC and MAPK	9.17E-01	1.11E-01	NaN	EGFR,MAPK1	
Formation of the nephric duct	9.17E-01	1.11E-01	NaN	NPNT,WFDC2	
Mitochondrial unfolded protein response (UPRmt)	9.17E-01	1.11E-01	NaN	DNAJA1,HTRA2	
Renal Cell Carcinoma Signaling	9.14E-01	6.41E-02	NaN	ELOB,ELOC,FH,MAPK1,TGFB1	
IL-13 Signaling Pathway	9.04E-01	5.65E-02	0.378	CHI3L1,MAPK1,MAPK14,POSTN,STAT1,TGFB1,TGFB3	
Amyloid fiber formation	9.04E-01	5.65E-02	1.134	APOE,FGA,H2AX,ITM2B,LTF,NCSTN,USP9X	
Colorectal Cancer Metastasis Signaling	8.96E-01	4.8E-02	0.000	BAX,CASP3,EGFR,GNB1,GNG12,LRP1,MAPK1,MMP14,Mmp3,MMP7,STAT1,TGFB1,TGFB3	
Lysosomal oligosaccharide catabolism	8.94E-01	2.5E-01	NaN	MAN2C1	
Heme Degradation	8.94E-01	2.5E-01	NaN	BLVRA	
Branched-chain α-keto acid Dehydrogenase Complex	8.94E-01	2.5E-01	NaN	DLD	
Spermine and Spermidine Degradation I	8.94E-01	2.5E-01	NaN	SAT2	
Coenzyme A Biosynthesis	8.94E-01	2.5E-01	NaN	PPCS	
Phenylethylamine Degradation I	8.94E-01	2.5E-01	NaN	AOC3	
Eumelanin Biosynthesis	8.94E-01	2.5E-01	NaN	MIF	
Methylmalonyl Pathway	8.94E-01	2.5E-01	NaN	MCEE	
Ascorbate Recycling (Cytosolic)	8.94E-01	2.5E-01	NaN	GLRX	
D-glucuronate Degradation I	8.94E-01	2.5E-01	NaN	CRYL1	
N-acetylglucosamine Degradation II	8.94E-01	2.5E-01	NaN	NAGK	
Antioxidant Action of Vitamin C	8.91E-01	5.6E-02	NaN	GLRX,MAPK1,MAPK14,NXN,PLA2G15,PLCD1,TXNRD2	
RNA m6A Methylation Signaling Pathway	8.91E-01	5.08E-02	2.530	EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,HDGF,MAPK1,MARCKSL1,PARP1,TGFB1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	8.85E-01	6.9E-02	0.000	PPM1L,PPP2CA,PPP2CB,PTPA	
Signaling by Activin	8.78E-01	1.05E-01	NaN	FST,MAPK1	
NAFLD Signaling Pathway	8.78E-01	4.93E-02	-0.302	ACACA,BAX,CASP3,LIF,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3,TNFRSF1B	
MyD88-independent TLR4 cascade	8.71E-01	7.89E-02	NaN	IRF3,UBE2N,UBE2V1	
Regulation of TP53 Expression and Degradation	8.71E-01	7.89E-02	NaN	PPP2CA,PPP2CB,USP7	
Notch Signaling	8.71E-01	7.89E-02	NaN	ADAM17,JAG1,NCSTN	
Orexin Signaling Pathway	8.68E-01	4.82E-02	0.000	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,CASP3,GNB1,GNG12,MAPK1,MAPK14,PLCD1	
Androgen Signaling	8.66E-01	5.14E-02	NaN	GNB1,GNG12,GTF2A2,HSP90AA1,MAPK1,POLR2D,POLR2E,POLR2H,POLR2I	
Signaling by ERBB4	8.65E-01	6.78E-02	0.000	ADAM17,APOE,EGFR,NCSTN	
Polyamine Regulation in Colon Cancer	8.65E-01	6.78E-02	NaN	CSNK2B,MAPK1,SAT2,SMS	
Kinetochore Metaphase Signaling Pathway	8.61E-01	5.77E-02	-0.447	H2AX,MAD2L1,PPP1CA,PPP1CB,PPP1CC,PPP1R7	
Glycation Signaling Pathway	8.59E-01	4.89E-02	-0.302	CASP3,CCL2,COL4A1,HMGB1,LIF,MAPK1,MAPK14,SOD1,STAT1,TGFB1,TGFB3	
Insulin Receptor Signaling	8.53E-01	5.47E-02	1.342	CRKL,EIF4E,MAPK1,PPP1CA,PPP1CB,PPP1CC,TRIP10	
