© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Post-translational protein phosphorylation	1.02E01	1.96E-01	1.528	APLP2,APOE,FGA,FSTL1,FUCA2,GAS6,GOLM1,MBTPS1,MIA3,PCSK9,PDIA6,PRKCSH,PRSS23,RCN1,SERPINC1,SHISA5,SPP1,STC2,TIMP1,TMEM132A,VCAN	
Neddylation	1.01E01	1.3E-01	2.121	ADRM1,COPS2,COPS4,COPS5,COPS6,COPS8,CUL1,DCUN1D1,DPP3,ELOB,ELOC,FBXO22,GPS1,NAE1,NEDD8,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RBBP7,UBA3,WDR5	
Nucleotide Excision Repair	1.01E01	1.93E-01	3.273	ACTB,ACTL6A,COPS2,COPS4,COPS5,COPS6,COPS8,GPS1,PARP1,POLR2D,POLR2E,POLR2H,POLR2I,PRPF19,RAD23A,RPA3,RUVBL1,SUMO2,UBE2N,UBE2V2,USP7	
Metabolism of polyamines	1.01E01	2.67E-01	0.000	ADRM1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SMS	
Proteasome assembly	1E01	2.88E-01	-0.258	ADRM1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Degradation of CRY and PER proteins	9.83E00	2.58E-01	0.000	ADRM1,CUL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	9.79E00	1.77E-01	1.279	APLP2,APOE,FGA,FSTL1,FUCA2,GAS6,GOLM1,IGF2,MBTPS1,MIA3,PCSK9,PDIA6,PRKCSH,PRSS23,RCN1,SERPINC1,SHISA5,SPP1,STC2,TIMP1,TMEM132A,VCAN	
Regulation of Apoptosis	9.75E00	2.78E-01	-0.258	ADRM1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Regulation of RUNX2 expression and activity	9.64E00	2.33E-01	-0.243	ADRM1,CUL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,STAT1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	9.46E00	1.41E-01	NaN	BAX,CCL2,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,EGFR,IFNAR2,IGF2,IL1RL1,MYH11,MYH9,MYL9,STAT1,TGFB1,TGFB3,TIMP1,TNFRSF1B	
Hedgehog ligand biogenesis	9.39E00	2.42E-01	-0.500	ADAM17,ADRM1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Extracellular matrix organization	9.38E00	1.87E-01	1.342	COL11A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,DDR1,ITGA3,ITGB1,LAMA2,LAMA4,LAMC2,LUM,NID2,TGFB1,TGFB3,VCAN	
Mitotic Metaphase and Anaphase	9.3E00	1.27E-01	1.095	ADRM1,CHMP2A,CHMP3,CHMP4B,DYNC1H1,LMNB1,MAD2L1,NUP37,PAFAH1B1,PPP1CC,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SEC13,TUBA1A,TUBB2A,TUBB3	
Cellular response to hypoxia	9.25E00	2.21E-01	-0.243	ADRM1,ELOB,ELOC,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Major pathway of rRNA processing in the nucleolus and cytosol	9.11E00	1.21E-01	3.413	EXOSC2,NCL,RACK1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPS9,RPSA,WDR12	
TNFR2 non-canonical NF-kB pathway	9.08E00	2.32E-01	0.000	ADRM1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,TNFRSF1B	
