© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cellular response to hypoxia	2.17E-01		1.30E-02	UBE2D2	
HIPPO signaling	2.17E-01		1.30E-02	MOB1A	
Phospholipases	2.24E-01		1.33E-02	PLA2R1	
ERK5 Signaling	2.28E-01		1.35E-02	AKT1	
Stearate Biosynthesis I (Animals)	2.28E-01		1.35E-02	ACSBG1	
COPII-mediated vesicle transport	2.31E-01		1.37E-02	LMAN2L	
PRC2 methylates histones and DNA	2.35E-01		1.39E-02	H2AJ	
HEY1 Signaling Pathway	2.37E-01		1.24E-02	AKT1,MMP13	
Orexin Signaling Pathway	2.38E-01		1.20E-02	AKT1,GNG5,MLST8	
Basal Cell Carcinoma Signaling	2.39E-01		1.41E-02	CTNNB1	
Nucleosome assembly	2.39E-01		1.41E-02	H2AJ	
Neddylation	2.42E-01		1.21E-02	COMMD4,RNF7,UBE2D2	
p75 NTR receptor-mediated signalling	2.45E-01		1.27E-02	AKAP13,NME4	
Chromatin modifications during the maternal to zygotic transition (MZT)	2.47E-01		1.45E-02	H2AJ	
Mitotic Roles of Polo-Like Kinase	2.47E-01		1.45E-02	SMC3	
IL-12 Signaling and Production in Macrophages	2.5E-01		1.23E-02	AKT1,MAP2K1,RIGI	
Agrin Interactions at Neuromuscular Junction	2.51E-01		1.47E-02	MAPK9	
Superpathway of Inositol Phosphate Compounds	2.53E-01		1.24E-02	DUSP23,PPP1R11,PPP1R14A	
IL-10 Signaling	2.53E-01		1.29E-02	AKT1,HLA-A	
Cell Cycle Control of Chromosomal Replication	2.55E-01		1.49E-02	MCM3	
Collagen biosynthesis and modifying enzymes	2.55E-01		1.49E-02	COL6A5	
PXR/RXR Activation	2.55E-01		1.49E-02	AKT1	
Ribavirin ADME	2.55E-01		1.49E-02	NME4	
XIST Epigenetic Regulation Signaling Pathway	2.56E-01		1.30E-02	CHD4,NRP2	
cAMP-mediated signaling	2.57E-01		1.25E-02	AKAP13,MAP2K1,PALM2AKAP2	
CGRP in Inflammation and Nociception Signaling Pathway	2.59E-01		1.31E-02	AKT1,CTNNB1	
KEAP1-NFE2L2 pathway	2.59E-01		1.31E-02	AKT1,NME4	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	2.63E-01		1.54E-02	H2AJ	
RAB geranylgeranylation	2.63E-01		1.54E-02	RAB5A	
Thrombopoietin Signaling	2.68E-01		1.56E-02	MAP2K1	
UFMylation Signaling Pathway	2.68E-01		1.56E-02	AKT1	
Co-inhibition by BTLA	2.72E-01		1.59E-02	NME4	
DNA methylation	2.72E-01		1.59E-02	H2AJ	
NCAM signaling for neurite out-growth	2.72E-01		1.59E-02	COL6A5	
Transcriptional Regulation by MECP2	2.72E-01		1.59E-02	MECP2	
Thrombin Signaling	2.75E-01		1.29E-02	AKT1,GNG5,MAP2K1	
Iron homeostasis signaling pathway	2.85E-01		1.39E-02	ISCU,PDGFA	
GABA receptor activation	2.87E-01		1.67E-02	GNG5	
GADD45 Signaling	2.87E-01		1.67E-02	MAPK9	
Signaling by NOTCH4	2.88E-01		1.40E-02	AKT1,NME4	
Semaphorin Signaling in Neurons	2.92E-01		1.69E-02	SEMA3A	
Ephrin A Signaling	2.95E-01		1.42E-02	AKT1,MAP2K1	
Complement cascade	3.01E-01		1.44E-02	MASP1,VTN	
STAT3 Pathway	3.01E-01		1.44E-02	MAP2K1,MAPK9	
CCR3 Signaling in Eosinophils	3.04E-01		1.45E-02	GNG5,MAP2K1	
CGAS-STING Signaling Pathway	3.04E-01		1.45E-02	Il36a,MAP1LC3A	
FAT10 Signaling Pathway	3.07E-01		1.79E-02	UBE2Z	
Somitogenesis	3.07E-01		1.79E-02	CTNNB1	
Intrinsic Pathway for Apoptosis	3.13E-01		1.82E-02	AKT1	
Lymphotoxin β Receptor Signaling	3.13E-01		1.82E-02	AKT1	
Signaling by PTK6	3.13E-01		1.82E-02	AKT1	
Cell surface interactions at the vascular wall	3.13E-01		1.38E-02	BSG,ITGAV,JAM3	
Cohesin Chromatin Regulation Pathway	3.14E-01		1.34E-02	DDX5,FAT2,MECP2,SMC3	
3-phosphoinositide Biosynthesis	3.16E-01		1.39E-02	DUSP23,PPP1R11,PPP1R14A	
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	3.22E-01		1.50E-02	ANGPTL4,H2AJ	
fMLP Signaling in Neutrophils	3.22E-01		1.50E-02	GNG5,MAP2K1	
Ribotoxic Stress Signaling Pathway	3.24E-01		1.89E-02	MAPK9	
Spliceosomal Cycle	3.24E-01		1.89E-02	SF3B6	
TR/RXR Activation	3.29E-01		1.53E-02	AKT1,TSHB	
Amyloid Processing	3.3E-01		1.92E-02	AKT1	
Proteasome assembly	3.3E-01		1.92E-02	PSMG3	
TNFR1 Signaling	3.3E-01		1.92E-02	TNFRSF1A	
Cardiac conduction	3.33E-01		1.54E-02	CASQ2,MME	
G Beta Gamma Signaling	3.33E-01		1.54E-02	AKT1,GNG5	
Glycerophospholipid biosynthesis	3.36E-01		1.55E-02	CHKB,PLA2R1	
Assembly of RNA Polymerase II Complex	3.36E-01		1.96E-02	GTF2E1	
Gap junction trafficking and regulation	3.36E-01		1.96E-02	TJP1	
Irritable Bowel Syndrome Signaling Pathway	3.38E-01		1.38E-02	Il36a,LRP6,MMP13,TNFRSF1A	
GP6 Signaling Pathway	3.4E-01		1.56E-02	AKT1,COL6A5	
