© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastroesophageal carcinoma	Gastroesophageal carcinoma	4.67E-06	 	 	 	 	EIF4EBP2,DBNL,AKAP13,ADD1,CTSK,GALNT2,MDC1,CFAP20,NME4,ACAD10,SMC3,KIRREL2,SPIRE2,UBXN1,POLE3,ANKK1,DCTN6,AFG3L2,NAXD,ADAM12,LRP6,FAM120A,PCNP,MAPK9,RWDD4,MYO10,CPXM1,MME,CTHRC1,CTNNB1,PDLIM5,TGM1,ACTBL2,MAP1LC3A,ANGPTL7,WASL,BOC,PHYHD1,VIRMA,APPL1,CLGN,CLIC5,LONP1,EHD2,APRT,ARB2A,BMPER,DNAJC1,CD109,RALY,ULK1,CDH17,RBM25,EIF4E2,WIPI2,HUWE1,PRPF8,GOLGA3,HK2,CCAR2,SMURF1,CHLSN,RBSN,PEG3,USP4,PPM1G,SBSN,NUP98,FAT2,ADAMTSL2,NISCH,MMP13,TGM3,MASP1,TRIOBP,MAP7D2,HLA-A,ACSBG1,ACAT1,AP2A1,KIF18B,CHMP5,WASHC4,ADAMTS7,KIF2B,MAPDA,MCRIP1,EIF5B,ITGAV,CHD1,GET4,MAP2K1,GMPPB,PLG,SUCLG1,HEG1,MYH14,MAP7,NCBP2,ISCU,NDRG3,PTPRS,TIGAR,TATDN1,CTSS,UQCRC1,NAA10,BAG3,CELSR2,HEXIM1,ANGPTL2,OTUD6B,MTUS1,TSHB,DNAJC3,CHD4,COL6A5,MCM3,IDUA,JAM3,DNAAF11,PDGFRL,FHIT,TJP1,AKT1,MECP2,NRP2,MOB1B,SMARCC1,C15orf40,EPRS1,UBR4,LARP1,GRIK4,MOB1A,SFRP2,CHKB,TP53BP1,DDX5,USP24,GCN1,PALM2AKAP2,DDI2,RPL18A,SP4,DRAP1,LMAN2L,TEP1,DYNC1I2,RCC1,MYH10,POFUT4,GCAT,SEMA3A,CMC4,DNASE1L2,SUCLG2,STX4,PSD	159	
Cancer, Organismal Injury and Abnormalities	non-ocular melanoma	Non-ocular melanoma	4.72E-06	 	 	 	 	EIF4EBP2,AKAP13,ADD1,EXOSC7,FAM169A,GALNT2,MDC1,ANKK1,FAM120A,NUDCD3,MYOC,MAPK9,MYO10,MME,CTHRC1,CTNNB1,ANGPTL7,WASL,BOC,APPL1,CLGN,APRT,EPS15,ARB2A,SGSM3,DNAJC1,RBM25,EIF4E2,CLEC12B,HK2,CHLSN,USP4,SBSN,NUP98,MASP1,TRIOBP,MAP7D2,WASHC4,ADAMTS7,PCCB,PDGFA,MRRF,BICD2,GMPPB,HEG1,RIMOC1,ISCU,SCIN,DSC1,PTPRS,TIGAR,CTSS,NAA10,CGA,PTER,C1orf50,TSHB,DNAJC3,CHD4,COL6A5,PECR,CFAP418,IDUA,JAM3,AKT1,LRRFIP1,BSG,MAPK15,LARP1,DDX5,MRPL12,USP24,LMAN2L,TEP1,DYNC1I2,RCC1,GCAT,MON2,STX4,PLA2R1,PSD,NCKAP1,PRMT5,CMC1,CFAP20,ACAD10,KIRREL2,SPIRE2,SH3BGR,LRP6,PCNP,PAIP2,CPXM1,FDX2,GLB1L3,PDLIM5,TGM1,ADAM19,RIGI,MAP1LC3A,VIRMA,RBKS,CLINT1,LONP1,EHD2,STOM,BMPER,CD109,NUP93,ARRB1,RALY,ULK1,CDH17,B3GNT7,HUWE1,AKR1E2,PRPF8,BRCC3,GOLGA3,RAN,CCAR2,PEG3,PPP1R11,PPM1G,FAT2,YPEL5,ADAMTSL2,NISCH,MMP13,TGM3,VTN,HLA-A,SHFL,DCTD,ACSBG1,AP2A1,KIF18B,KIF2B,MAPDA,EIF5B,ITGAV,CHD1,GET4,MBD5,MAP2K1,PLG,SPINT1,MYH14,MAP7,BTD,COMMD4,CKM,MLST8,GTF2E1,BAG3,CELSR2,TST,ANGPTL2,OTUD6B,NDUFA2,DIS3,TNPO3,TTC23L,RNASEH2C,MCM3,PDGFRL,SZRD1,FHIT,TJP1,NRP2,FHL1,MOB1B,SMARCC1,DPP4,EPRS1,UBR4,CTSF,GRIK4,CDNF,TP53BP1,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,POGLUT1,MYH10,MMUT,CASQ2,UBE2L6,SEMA3A,MAT2B	193	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreaticobiliary cancer	Pancreaticobiliary cancer	4.74E-06	 	 	 	 	AKAP13,PRMT5,CTSK,GKAP1,TNFRSF1A,GALNT2,KIRREL2,SPIRE2,RPL9,ADAM12,LRP6,MAPK9,MYO10,MME,CTHRC1,CTNNB1,Gstp1 (includes others),ACTBL2,ADAM19,RIGI,WASL,BOC,VIRMA,SNX18,APPL1,LONP1,ARB2A,CD109,RNF7,NUP93,HUWE1,HK2,SMURF1,RBSN,ASNS,PEG3,NUP98,FAT2,YPEL5,GLMN,MMP13,TRIOBP,MAP7D2,HLA-A,DCTD,ADAMTS7,DNAJC7,KIF2B,MAPDA,MRRF,ITGAV,CHD1,MAP2K1,BICD2,GMPPB,PLG,C2orf76,RIMOC1,MYH14,CSRP2,NCBP2,ISCU,CKM,NDRG3,DSC1,C8orf82,PTPRS,TIGAR,CTSS,NAA10,CELSR2,OTUD6B,DIS3,CHD4,COL6A5,RNASEH2C,IDUA,DNAAF11,SZRD1,TJP1,AKT1,NRP2,LRRFIP1,FHL1,SMARCC1,MAPK15,DPP4,UBR4,DDX5,RPL31,USP24,AMBP,DDI2,ARPP19,DYNC1I2,RCC1,BTF3,POFUT4,MMUT,SEMA3A,CMC4,STX4,NCKAP1	103	
Cell Morphology, Cellular Function and Maintenance, Nervous System Development and Function, Tissue Morphology	length	Length of neurons	5.19E-06	 	 	 	 	EIF4EBP2,MYH14,DBNL,AKT1,MECP2,NRP2,CTNNB1,RGMB,SEMA3A,JAM3,PLG	11	
Cellular Movement	migration	Migration of carcinoma cell lines	5.27E-06	 	 	 	 	UBE2S,FHIT,PRMT5,TJP1,ITGAV,AKT1,NRP2,FHL1,GALNT2,DNAJC1,MAP2K1,SMARCC1,ANGPTL4,SPINT1,BSG,MAPK15,DPP4,CDH17,RANGAP1,MYH14,ISG15,HMGB3,SCIN,FAM120A,DDX5,HK2,PALM2AKAP2,SMURF1,ASNS,TIGAR,USP4,CTHRC1,CTNNB1,RIGI,OTUD6B,MTUS1,VIRMA,APPL1,TNPO3,VTN,Ccl9,COL6A5,KIF18B,UBQLN1,JAM3	45	
Cardiovascular System Development and Function, Organismal Development	vasculogenesis	Vasculogenesis	5.36E-06	 	 	 	 	ITGAV,AKT1,CTSK,NRP2,LRRFIP1,TNFRSF1A,FHL1,CHD1,SYNJ2BP,BMPER,MAP2K1,ANGPTL4,PLG,RNF7,HEG1,BSG,DPP4,SFRP2,ADAM12,LRP6,HK2,Serpina3n (includes others),CTSS,SCG3,DRAP1,NUP98,CTNNB1,HEXIM1,ADAM19,NISCH,MYH10,GLMN,ANGPTL2,MMP13,VIRMA,VTN,AVP,SEMA3A,JAM3,PDGFA,EPS15	41	
Cancer, Organismal Injury and Abnormalities	breast or pancreatic cancer	Breast or pancreatic cancer	5.49E-06	 	 	 	 	DBNL,AKAP13,PRMT5,CTSK,TNFRSF1A,CMC1,GALNT2,MDC1,SMC3,KIRREL2,SPIRE2,HMGB3,ADAM12,LRP6,PCNP,RPL19,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,GLB1L3,PDLIM5,ACTBL2,RIGI,WASL,BOC,PHYHD1,VIRMA,SNX18,APPL1,CLGN,LONP1,EHD2,QPRT,EPS15,CBFB,SGSM3,DNAJC1,CD109,RNF7,NUP93,ARRB1,RALY,ULK1,CDH17,RANGAP1,TPK1,HUWE1,HK2,SMURF1,CHLSN,RBSN,ASNS,PEG3,NUP98,FAT2,YPEL5,MMP13,TGM3,SRCIN1,MASP1,MAP7D2,HLA-A,DCTD,ADAMTS7,PDGFA,DNAJC7,KIF2B,MRRF,ITGAV,ALKBH6,PMM2,CHD1,MAP2K1,ANGPTL4,GMPPB,PLG,HEG1,C2orf76,SPINT1,RIMOC1,MYH14,CSRP2,NCBP2,ISCU,CKM,NDRG3,SCIN,C8orf82,PTPRS,TIGAR,CTSS,NAA10,BAG3,CELSR2,TST,HEXIM1,ANGPTL2,OTUD6B,MTUS1,CHD4,COL6A5,UBQLN1,MCM3,CIAPIN1,IDUA,JAM3,DNAAF11,FHIT,TJP1,AKT1,NRP2,LRRFIP1,FHL1,SMARCC1,BSG,DPP4,EPRS1,UBR4,LARP1,ACOX1,SFRP2,CHKB,TP53BP1,DDX5,RPL31,MRPL12,USP24,GCN1,DDI2,ARPP19,LMAN2L,TEP1,DYNC1I2,RCC1,SPINK8,BTF3,MYH10,POFUT4,MMUT,SEMA3A,CMC4,STX4,PLA2R1,NCKAP1	147	
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	urinary tract carcinoma	Urinary tract carcinoma	6.07E-06	 	 	 	 	AKAP13,CTSK,FAM169A,RPL17,MDC1,SMC3,RPL9,POLE3,AFG3L2,UBE2Z,ADAM12,LRP6,FAM120A,MYO10,CPXM1,METTL21A,MME,CTHRC1,CTNNB1,GLB1L3,PDLIM5,TGM1,ADAM19,RIGI,BOC,PHYHD1,VIRMA,SNX18,AUH,CLIC5,EHD2,QPRT,EPS15,CBFB,COA4,NUP93,GSTT1,CDH17,WIPI2,PYM1,RPL38,HUWE1,CLEC12B,AKR1E2,RPRD1B,GOLGA3,HK2,CCAR2,SMURF1,CHLSN,ASNS,PEG3,USP4,ICOSLG,SBSN,FAT2,ADAMTSL2,NISCH,MMP13,SRCIN1,MASP1,TRIOBP,MAP7D2,HLA-A,ACAT1,KIF18B,WASHC4,ADAMTS7,KIF2B,MAPDA,ITGAV,CHD1,MAP2K1,ANGPTL4,BICD2,GMPPB,PLG,HEG1,SPINT1,MYH14,MAP7,BTD,MLST8,GTF2E1,DSC1,MOB2,PTPRS,CTSS,CELSR2,OTUD6B,SDHAF2,NDUFA2,MTUS1,HPF1,SUOX,TSHB,DIS3,TNPO3,CHD4,COL6A5,TTC23L,UBQLN1,MCM3,CIAPIN1,JAM3,DNAAF11,PDGFRL,TJP1,AKT1,NRP2,NDUFV3,SMARCC1,BSG,EPRS1,UBR4,GRIK4,ACOX1,RGMB,SFRP2,TP53BP1,DDX5,RPL31,USP24,AMBP,GCN1,PALM2AKAP2,DDI2,SCG3,LMAN2L,TEP1,RCC1,MYH10,MBLAC1,GCAT,MON2,GSTZ1,MIF4GD,MMUT,NCKAP1	139	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	hepatobiliary system cancer	Hepatobiliary system cancer	6.19E-06	 	 	 	 	AKAP13,PRMT5,ADD1,GKAP1,MDC1,SMC3,KIRREL2,RPL9,UBXN1,ANKK1,HMGB3,ADAM12,LRP6,FAM120A,MYOC,MAPK9,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,Gstp1 (includes others),ACTBL2,ADAM19,RIGI,BOC,PHYHD1,VIRMA,AUH,CLINT1,CLIC5,LONP1,EHD2,QPRT,ARB2A,DNAJC2,DNAJC1,CD109,ARRB1,RALY,GSTT1,CDH17,RANGAP1,B3GNT7,HUWE1,CLEC12B,PRPF8,ISG15,GOLGA3,RAN,HK2,SMURF1,CHLSN,PEG3,USP4,PPM1G,SBSN,NUP98,FAT2,RAB5A,ADAMTSL2,GLMN,MMP13,MASP1,TRIOBP,MAP7D2,VTN,HLA-A,ACAT1,WASHC4,KIF2B,MAPDA,UBE2S,EIF5B,CHD1,MBD5,MAP2K1,BICD2,PLG,HEG1,C2orf76,RIMOC1,MYH14,NCBP2,NDRG3,MLST8,SCIN,GTF2E1,DSC1,SRSF10,PTPRS,TATDN1,UQCRC1,CELSR2,TST,PTER,HEXIM1,C1orf50,OTUD6B,WFDC1,SUOX,DIS3,GTF2F2,CHD4,SPRING1,REEP2,COL6A5,RNASEH2C,UBQLN1,MCM3,CIAPIN1,IDUA,PDGFRL,SZRD1,FHIT,TJP1,AKT1,LRRFIP1,FHL1,BSG,MAPK15,EPRS1,UBR4,LARP1,GRIK4,ACOX1,RGMB,MOB1A,SFRP2,TP53BP1,DDX5,RPL31,USP24,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,TEP1,RCC1,JPT1,MYH10,MBLAC1,MON2,GSTZ1,MIF4GD,MMUT,SEMA3A,MAT2B,PLA2R1,NCKAP1	153	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	malignant hepatobiliary neoplasm	Malignant hepatobiliary neoplasm	6.19E-06	 	 	 	 	AKAP13,PRMT5,ADD1,GKAP1,MDC1,SMC3,KIRREL2,RPL9,UBXN1,ANKK1,HMGB3,ADAM12,LRP6,FAM120A,MYOC,MAPK9,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,Gstp1 (includes others),ACTBL2,ADAM19,RIGI,BOC,PHYHD1,VIRMA,AUH,CLINT1,CLIC5,LONP1,EHD2,QPRT,ARB2A,DNAJC2,DNAJC1,CD109,ARRB1,RALY,GSTT1,CDH17,RANGAP1,B3GNT7,HUWE1,CLEC12B,PRPF8,ISG15,GOLGA3,RAN,HK2,SMURF1,CHLSN,PEG3,USP4,PPM1G,SBSN,NUP98,FAT2,RAB5A,ADAMTSL2,GLMN,MMP13,MASP1,TRIOBP,MAP7D2,VTN,HLA-A,ACAT1,WASHC4,KIF2B,MAPDA,UBE2S,EIF5B,CHD1,MBD5,MAP2K1,BICD2,PLG,HEG1,C2orf76,RIMOC1,MYH14,NCBP2,NDRG3,MLST8,SCIN,GTF2E1,DSC1,SRSF10,PTPRS,TATDN1,UQCRC1,CELSR2,TST,PTER,HEXIM1,C1orf50,OTUD6B,WFDC1,SUOX,DIS3,GTF2F2,CHD4,SPRING1,REEP2,COL6A5,RNASEH2C,UBQLN1,MCM3,CIAPIN1,IDUA,PDGFRL,SZRD1,FHIT,TJP1,AKT1,LRRFIP1,FHL1,BSG,MAPK15,EPRS1,UBR4,LARP1,GRIK4,ACOX1,RGMB,MOB1A,SFRP2,TP53BP1,DDX5,RPL31,USP24,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,TEP1,RCC1,JPT1,MYH10,MBLAC1,MON2,GSTZ1,MIF4GD,MMUT,SEMA3A,MAT2B,PLA2R1,NCKAP1	153	
Embryonic Development, Organismal Development	duplication	Duplication of body axis	6.36E-06	 	 	 	 	CTNNB1,BMPER,LRP6,NCKAP1	4	
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	kidney carcinoma	Kidney carcinoma	6.48E-06	 	 	 	 	CHD1,FAM169A,MAP2K1,ANGPTL4,PLG,SMC3,HEG1,RPL9,POLE3,MLST8,GTF2E1,CTSS,CELSR2,MME,CTHRC1,CTNNB1,ADAM19,RIGI,OTUD6B,SDHAF2,NDUFA2,PHYHD1,VIRMA,TNPO3,CIAPIN1,JAM3,EHD2,QPRT,CBFB,TJP1,AKT1,NDUFV3,COA4,SMARCC1,BSG,GSTT1,UBR4,GRIK4,ACOX1,RPL38,SFRP2,TP53BP1,DDX5,AMBP,GCN1,HK2,PALM2AKAP2,SMURF1,ASNS,SCG3,LMAN2L,RCC1,SBSN,FAT2,MMP13,GCAT,SRCIN1,TRIOBP,MMUT,HLA-A,ACAT1,ADAMTS7,MAPDA,NCKAP1	64	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of skin	6.73E-06	 	 	 	 	DBNL,PRMT5,AKT1,CTSK,MECP2,TNFRSF1A,NME4,PLG,SPIRE2,SPINT1,RALY,BSG,RANGAP1,ISG15,RPRD1B,BRCC3,DSC1,AMBP,PTPRS,MAPK9,Il36a,UQCRC1,DRAP1,NAA10,MYO10,MME,TGM1,TGM3,TNPO3,VTN,HLA-A,REEP2,ACSBG1,ACAT1,PECR,IDUA,DNASE1L2,PDGFA,APRT	39	
Cancer, Organismal Injury and Abnormalities	melanoma	Melanoma	6.98E-06	 	 	 	 	EIF4EBP2,AKAP13,ADD1,EXOSC7,FAM169A,GALNT2,MDC1,ANKK1,FAM120A,NUDCD3,MYOC,MAPK9,RWDD4,MYO10,MME,CTHRC1,CTNNB1,ANGPTL7,WASL,BOC,APPL1,CLGN,APRT,EPS15,ARB2A,SGSM3,SYNJ2BP,DNAJC1,RBM25,EIF4E2,CLEC12B,HK2,CHLSN,USP4,SBSN,NUP98,RAD1,MASP1,TRIOBP,MAP7D2,WASHC4,ADAMTS7,PCCB,PDGFA,UBE2S,MRRF,BICD2,GMPPB,HEG1,RIMOC1,ISCU,SCIN,DSC1,PTPRS,TIGAR,CTSS,NAA10,CGA,PTER,C1orf50,TSHB,DNAJC3,CHD4,COL6A5,PECR,CFAP418,IDUA,JAM3,DNAAF11,AKT1,LRRFIP1,C15orf40,BSG,MAPK15,LARP1,DDX5,MRPL12,USP24,ARPP19,LMAN2L,TEP1,DYNC1I2,RCC1,GCAT,MON2,STX4,PLA2R1,PSD,NCKAP1,PRMT5,CMC1,CFAP20,ACAD10,KIRREL2,SPIRE2,SH3BGR,LRP6,PCNP,PAIP2,CPXM1,FDX2,GLB1L3,PDLIM5,TGM1,ADAM19,RIGI,MAP1LC3A,VIRMA,SNX18,RBKS,CLINT1,LONP1,EHD2,STOM,BMPER,CD109,NUP93,ARRB1,RALY,ULK1,CDH17,RANGAP1,B3GNT7,HUWE1,AKR1E2,PRPF8,BRCC3,GOLGA3,RAN,CCAR2,ASNS,PEG3,PPP1R11,PPM1G,FAT2,YPEL5,ADAMTSL2,NISCH,MMP13,TGM3,VTN,HLA-A,SHFL,DCTD,ACSBG1,AP2A1,KIF18B,KIF2B,MAPDA,EIF5B,ITGAV,CHD1,GET4,MBD5,MAP2K1,PLG,SPINT1,MYH14,MAP7,BTD,COMMD4,CKM,NDRG3,MLST8,GTF2E1,C8orf82,BAG3,CELSR2,TST,ANGPTL2,OTUD6B,NDUFA2,DIS3,TNPO3,TTC23L,RNASEH2C,MCM3,PDGFRL,SZRD1,FHIT,TJP1,NRP2,FHL1,MOB1B,SMARCC1,DPP4,EPRS1,UBR4,CTSF,GRIK4,CDNF,TP53BP1,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,POGLUT1,MYH10,MMUT,CASQ2,UBE2L6,SEMA3A,MAT2B	205	
Cancer, Organismal Injury and Abnormalities	uveal or cutaneous melanoma	Uveal or cutaneous melanoma	7.03E-06	 	 	 	 	EIF4EBP2,AKAP13,PRMT5,ADD1,CMC1,EXOSC7,FAM169A,GALNT2,MDC1,CFAP20,ACAD10,KIRREL2,SPIRE2,ANKK1,SH3BGR,LRP6,FAM120A,NUDCD3,PCNP,MYOC,PAIP2,MAPK9,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,GLB1L3,PDLIM5,TGM1,ADAM19,RIGI,MAP1LC3A,ANGPTL7,WASL,BOC,VIRMA,APPL1,CLGN,RBKS,CLINT1,LONP1,EHD2,APRT,EPS15,STOM,ARB2A,SGSM3,BMPER,DNAJC1,CD109,NUP93,ARRB1,RALY,ULK1,CDH17,RBM25,EIF4E2,B3GNT7,HUWE1,CLEC12B,AKR1E2,PRPF8,BRCC3,GOLGA3,RAN,HK2,CCAR2,CHLSN,PEG3,USP4,PPP1R11,PPM1G,SBSN,NUP98,FAT2,YPEL5,ADAMTSL2,NISCH,MMP13,TGM3,MASP1,TRIOBP,MAP7D2,VTN,HLA-A,SHFL,DCTD,ACSBG1,AP2A1,KIF18B,WASHC4,ADAMTS7,PCCB,PDGFA,KIF2B,MAPDA,EIF5B,MRRF,ITGAV,CHD1,GET4,MBD5,MAP2K1,BICD2,GMPPB,PLG,HEG1,SPINT1,RIMOC1,MYH14,MAP7,ISCU,BTD,COMMD4,CKM,MLST8,SCIN,GTF2E1,DSC1,PTPRS,TIGAR,CTSS,NAA10,BAG3,CELSR2,CGA,TST,PTER,C1orf50,ANGPTL2,OTUD6B,NDUFA2,TSHB,DNAJC3,DIS3,TNPO3,CHD4,COL6A5,TTC23L,PECR,RNASEH2C,MCM3,IDUA,JAM3,PDGFRL,SZRD1,FHIT,TJP1,AKT1,NRP2,LRRFIP1,FHL1,MOB1B,SMARCC1,BSG,MAPK15,DPP4,EPRS1,UBR4,LARP1,CTSF,GRIK4,CDNF,TP53BP1,DDX5,MRPL12,USP24,AMBP,GCN1,PALM2AKAP2,DDI2,SP4,SCG3,LMAN2L,TEP1,DYNC1I2,RCC1,POGLUT1,MYH10,GCAT,MON2,MMUT,CASQ2,UBE2L6,SEMA3A,MAT2B,STX4,PLA2R1,PSD,NCKAP1	192	
Cancer, Organismal Injury and Abnormalities	pelvic adenocarcinoma	Pelvic adenocarcinoma	7.21E-06	 	 	 	 	AKAP13,PRMT5,ADD1,GKAP1,TNFRSF1A,GALNT2,MDC1,ACAD10,SMC3,KIRREL2,UBXN1,ANKK1,AFG3L2,UBE2Z,NAXD,SH3BGR,HMGB3,ADAM12,LRP6,FAM120A,NUDCD3,MYOC,MAPK9,RWDD4,MYO10,METTL21A,FDX2,CTHRC1,CTNNB1,CPOX,TGM1,ACTBL2,ADAM19,RIGI,BOC,PHYHD1,VIRMA,SNX18,H2AJ,APPL1,AUH,CLGN,CLINT1,LONP1,CBFB,STOM,ARB2A,SYNJ2BP,BMPER,COA4,DNAJC2,DNAJC1,CD109,RNF7,NUP93,ARRB1,RALY,CDH17,RANGAP1,RBM25,HUWE1,PRPF8,ISG15,RPRD1B,GOLGA3,HK2,SMURF1,CHLSN,ASNS,PEG3,PPP1R11,ICOSLG,SBSN,NUP98,FAT2,ADAMTSL2,NISCH,GLMN,MMP13,RAD1,TGM3,SRCIN1,TRIOBP,MAP7D2,VTN,HLA-A,DCTD,ACSBG1,AP2A1,KIF18B,WASHC4,ADAMTS7,PCCB,DNAJC7,KIF2B,TCEA1,UBE2S,EIF5B,ITGAV,CHD1,MBD5,MAP2K1,ANGPTL4,BICD2,GMPPB,PLG,SUCLG1,HEG1,C2orf76,RIMOC1,MYH14,MAP7,CSRP2,BTD,CKM,SCIN,DSC1,C8orf82,PTPRS,TIGAR,CELSR2,HPDL,ANGPTL2,OTUD6B,SUOX,DIS3,TNPO3,CHD4,BROX,COL6A5,MCM3,IDUA,JAM3,PDGFRL,FHIT,AKT1,MECP2,NRP2,LRRFIP1,NDUFV3,SMARCC1,C15orf40,MAPK15,DPP4,EPRS1,UBR4,LARP1,GRIK4,ACOX1,MOB1A,SFRP2,TP53BP1,DDX5,RPL31,USP24,EIF2B2,GCN1,PALM2AKAP2,DDI2,SP4,DRAP1,LMAN2L,DYNC1I2,RCC1,SPINK8,JPT1,SF3B6,MYH10,MON2,MIF4GD,MMUT,CASQ2,SEMA3A,MAT2B,DNASE1L2,SUCLG2,STX4,PLA2R1,PSD	179	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	colorectal cancer	Colorectal cancer	7.22E-06	 	 	 	 	AKAP13,PRMT5,GKAP1,TNFRSF1A,EXOSC7,RPL17,MDC1,CFAP20,ACAD10,KIRREL2,SPIRE2,RPL9,UBXN1,POLE3,DCTN6,AFG3L2,HMGB3,ADAM12,LRP6,FAM120A,NUDCD3,MYOC,RPL19,MAPK9,MYO10,CPXM1,FDX2,MME,CTHRC1,CTNNB1,CPOX,GLB1L3,PDLIM5,ADAM19,ANGPTL7,BOC,PHYHD1,VIRMA,SNX18,PGGT1B,AUH,CLGN,CLIC5,LONP1,COA4,DNAJC2,DNAJC1,CD109,RNF7,NUP93,RALY,GSTT1,CDH17,RBM25,WIPI2,B3GNT7,HUWE1,PSMG3,AKR1E2,PRPF8,GOLGA3,RAN,HK2,SMURF1,CHLSN,ASNS,PEG3,USP4,ICOSLG,SBSN,NUP98,FAT2,NISCH,MMP13,RAD1,TGM3,SRCIN1,MASP1,TRIOBP,MAP7D2,VTN,HLA-A,SHFL,ACSBG1,KIF18B,ADAMTS7,PDGFA,KIF2B,TCEA1,UBE2S,MRRF,ITGAV,CHD1,GET4,MBD5,MAP2K1,ANGPTL4,BICD2,GMPPB,PLG,C2orf76,SPINT1,MYH14,MAP7,CSRP2,MLST8,GTF2E1,C8orf82,PTPRS,CTSS,CELSR2,ANGPTL2,OTUD6B,SDHAF2,MTUS1,WFDC1,SUOX,DNAJC3,DIS3,TNPO3,CHD4,COL6A5,TTC23L,RNASEH2C,UBQLN1,MCM3,JAM3,PDGFRL,FHIT,AKT1,NRP2,LRRFIP1,FHL1,MOB1B,SMARCC1,DPP4,EPRS1,UBR4,LARP1,CTSF,GRIK4,ACOX1,SFRP2,TP53BP1,DDX5,MRPL12,USP24,EIF2B2,GCN1,SP4,SCG3,TEP1,DYNC1I2,RCC1,POGLUT1,MYH10,EEF1AKMT2,MON2,GSTZ1,MIF4GD,SEMA3A,DNASE1L2,SUCLG2,PSD	164	
Cellular Assembly and Organization	assembly	Assembly of organelle	7.27E-06	 	 	 	 	EIF5B,AKAP13,FHIT,PRMT5,ADD1,TJP1,AKT1,FHL1,MAP2K1,CFAP20,ARRB1,ULK1,MAPK15,MYH14,WIPI2,PRPF8,SFRP2,MLST8,MOB2,NUDCD3,MYOC,BAG3,CELSR2,MME,CTNNB1,RAB5A,MYH10,MAP1LC3A,WASL,SNX18,GNG5,VTN,AVP,UBQLN1,LONP1,DNAAF11,CHMP5,EPS15,NCKAP1	39	
Cardiovascular Disease, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of cardiovascular system	7.42E-06	 	 	 	 	CBFB,AKAP13,PRMT5,TJP1,ITGAV,AKT1,TNFRSF1A,MAP2K1,SUCLG1,SPINT1,RALY,DPP4,EPRS1,MYH14,CSRP2,HUWE1,CKM,CHKB,ADAM12,SRSF10,USP4,MAPK9,TATDN1,BAG3,MME,CTNNB1,PDLIM5,HEXIM1,ADAM19,ADAMTSL2,MYH10,WASL,GNG5,DNAJC3,CASQ2,SEMA3A,CIAPIN1,IDUA,DNAAF11,PDGFA	40	
