© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Amyotrophic Lateral Sclerosis Signaling	1.21E00	2.56E-02	NaN	ALS2,PPP3CA,SSR4	
PAK Signaling	1.2E00	2.54E-02	NaN	MAP2K2,MAPK3,NCK1	
Leukocyte Extravasation Signaling	1.2E00	2.06E-02	NaN	AFDN,F11R,MAP2K2,PTPN11	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.2E00	2.06E-02	NaN	EGF,MAP2K2,MAPK3,PTPN11	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.2E00	2.06E-02	NaN	EGF,MAP2K2,MAPK3,PTPN11	
Bladder Cancer Signaling	1.19E00	2.52E-02	NaN	EGF,MAP2K2,MAPK3	
Signaling by TGF-beta Receptor Complex	1.19E00	3.7E-02	NaN	F11R,STUB1	
Fc Epsilon RI Signaling	1.18E00	2.5E-02	NaN	MAP2K2,MAPK3,PTPN11	
Nitric Oxide Signaling in the Cardiovascular System	1.18E00	2.5E-02	NaN	MAP2K2,MAPK3,RYR2	
NGF Signaling	1.18E00	2.48E-02	NaN	MAP2K2,MAPK3,PTPN11	
Intrinsic Pathway for Apoptosis	1.17E00	3.64E-02	NaN	GSDMD,MAPK3	
Interleukin-1 processing	1.17E00	1.11E-01	NaN	GSDMD	
Leucine Degradation I	1.17E00	1.11E-01	NaN	HMGCL	
EGF Signaling	1.16E00	3.57E-02	NaN	EGF,MAPK3	
CLEAR Signaling Pathway	1.16E00	1.75E-02	NaN	ATP6V1E1,EGF,MAPK3,PPP3CA,STUB1	
3-phosphoinositide Degradation	1.14E00	1.97E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
Chronic Myeloid Leukemia Signaling	1.14E00	1.74E-02	NaN	CDKN1B,MAP2K2,MAPK3,PPP3CA,PTPN11	
Cilium Assembly	1.14E00	1.96E-02	NaN	CLASP1,DCTN1,TUBA1C,TUBB6	
Cancer Drug Resistance by Drug Efflux	1.13E00	3.45E-02	NaN	MAP2K2,MAPK3	
Ketone body metabolism	1.13E00	1E-01	NaN	HMGCL	
Protein lipoylation	1.13E00	1E-01	NaN	NDUFAB1	
Histidine Degradation III	1.13E00	1E-01	NaN	MTHFD2	
Citrulline Biosynthesis	1.13E00	1E-01	NaN	GLS2	
GDP-glucose Biosynthesis	1.13E00	1E-01	NaN	PGM5	
